06:20,07:00,07:40,08:20,09:00,09:40,10:20,11:00,11:40,12:20,13:00,13:40,14:20,15:00,15:40,16:20,17:00,17:40,18:20,19:00,20:00,21:00
06:21,07:01,07:41,08:21,09:01,09:41,10:21,11:01,11:41,12:21,13:01,13:41,14:21,15:01,15:41,16:21,17:01,17:41,18:21,19:01,20:01,21:01
06:22,07:02,07:42,08:22,09:02,09:42,10:22,11:02,11:42,12:22,13:02,13:42,14:22,15:03,15:43,16:23,17:03,17:43,18:22,19:02,20:02,21:02
06:23,07:03,07:43,08:23,09:03,09:43,10:23,11:03,11:43,12:23,13:03,13:43,14:23,15:04,15:44,16:24,17:04,17:44,18:23,19:03,20:03,21:03
06:24,07:04,07:44,08:24,09:05,09:45,10:25,11:05,11:45,12:25,13:05,13:45,14:24,15:05,15:45,16:25,17:05,17:45,18:24,19:04,20:04,21:04
06:25,07:05,07:45,08:25,09:06,09:46,10:26,11:06,11:46,12:26,13:06,13:46,14:25,15:06,15:46,16:26,17:06,17:46,18:25,19:05,20:05,21:05
06:26,07:06,07:46,08:26,09:07,09:47,10:27,11:07,11:47,12:27,13:07,13:47,14:26,15:07,15:47,16:27,17:07,17:47,18:26,19:06,20:06,21:06
06:28,07:08,07:48,08:28,09:09,09:49,10:29,11:09,11:49,12:29,13:09,13:49,14:28,15:08,15:48,16:28,17:08,17:48,18:28,19:08,20:07,21:07
06:29,07:09,07:49,08:29,09:10,09:50,10:30,11:10,11:50,12:30,13:10,13:50,14:29,15:09,15:49,16:29,17:09,17:49,18:29,19:09,20:08,21:08
06:30,07:10,07:50,08:30,09:11,09:51,10:31,11:11,11:51,12:31,13:11,13:51,14:30,15:10,15:50,16:30,17:10,17:50,18:30,19:10,20:09,21:09
06:32,07:12,07:52,08:32,09:12,09:52,10:32,11:12,11:52,12:32,13:12,13:52,14:31,15:11,15:51,16:31,17:11,17:51,18:31,19:11,20:10,21:10
06:35,07:15,07:55,08:35,09:14,09:54,10:34,11:14,11:54,12:34,13:14,13:54,14:33,15:14,15:54,16:34,17:14,17:54,18:34,19:14,20:13,21:13
